# Freq   Response
      380.316       13.355960
      380.821       13.285056
      381.326       13.214591
      381.831       13.144650
      382.336       13.075211
      382.841       13.006135
      383.346       12.937569
      383.851       12.869327
      384.356       12.801705
      384.861       12.734450
      385.366       12.667641
      385.871       12.601226
      386.376       12.535268
      386.882       12.469716
      387.387       12.404640
      387.892       12.339965
      388.397       12.275778
      388.902       12.211967
      389.407       12.148511
      389.912       12.085460
      390.417       12.022913
      390.922       11.960667
      391.427       11.898889
      391.932       11.837472
      392.437       11.776455
      392.942       11.715893
      393.447       11.655610
      393.953       11.595761
      394.458       11.536314
      394.963       11.477255
      395.468       11.418549
      395.973       11.360193
      396.478       11.302244
      396.983       11.244615
      397.488       11.187436
      397.993       11.130610
      398.498       11.074058
      399.003       11.017962
      399.508       10.962159
      400.013       10.906714
      400.518       10.851596
      401.023       10.796870
      401.529       10.742468
      402.034       10.688424
      402.539       10.634685
      403.044       10.581289
      403.549       10.528222
      404.054       10.475549
      404.559       10.423114
      405.064       10.371023
      405.569       10.319297
      406.074       10.267909
      406.579       10.216784
      407.084       10.166007
      407.589       10.115535
      408.094       10.065347
      408.599       10.015554
      409.105       9.9659685
      409.610       9.9167309
      410.115       9.8677857
      410.620       9.8192154
      411.125       9.7708150
      411.630       9.7227802
      412.135       9.6750352
      412.640       9.6275863
      413.145       9.5804421
      413.650       9.5335252
      414.155       9.4869963
      414.660       9.4407001
      415.165       9.3946370
      415.670       9.3489229
      416.175       9.3034578
      416.681       9.2581816
      417.186       9.2133044
      417.691       9.1686229
      418.196       9.1242645
      418.701       9.0801482
      419.206       9.0362734
      419.711       8.9926760
      420.216       8.9493817
      420.721       8.9063260
      421.226       8.8635095
      421.731       8.8209553
      422.236       8.7786695
      422.741       8.7366672
      423.246       8.6948366
      423.751       8.6533038
      424.257       8.6119866
      424.762       8.5709558
      425.267       8.5301454
      425.772       8.4895977
      426.277       8.4492325
      426.782       8.4091725
      427.287       8.3693246
      427.792       8.3296727
      428.297       8.2903208
      428.802       8.2511434
      429.307       8.2122413
      429.812       8.1735650
      430.317       8.1350772
      430.822       8.0968339
      431.327       8.0588352
      431.833       8.0210381
      432.338       7.9834488
      432.843       7.9461150
      433.348       7.9089777
      433.853       7.8720439
      434.358       7.8353280
      434.863       7.7988236
      435.368       7.7625780
      435.873       7.7264700
      436.378       7.6906049
      436.883       7.6549735
      437.388       7.6194905
      437.893       7.5842764
      438.398       7.5491926
      438.904       7.5143597
      439.409       7.4797520
      439.914       7.4452874
      440.419       7.4110537
      440.924       7.3769669
      441.429       7.3431081
      441.934       7.3094471
      442.439       7.2759939
      442.944       7.2427296
      443.449       7.2096420
      443.954       7.1767251
      444.459       7.1439858
      444.964       7.1114694
      445.469       7.0791329
      445.974       7.0469839
      446.479       7.0149841
      446.985       6.9831638
      447.490       6.9515318
      447.995       6.9201072
      448.500       6.8888645
      449.005       6.8577846
      449.510       6.8268584
      450.015       6.7960957
      450.520       6.7655527
      451.025       6.7351450
      451.530       6.7048924
      452.035       6.6748496
      452.540       6.6449517
      453.045       6.6152239
      453.550       6.5856769
      454.056       6.5562664
      454.561       6.5270285
      455.066       6.4979553
      455.571       6.4690287
      456.076       6.4403121
      456.581       6.4117105
      457.086       6.3832985
      457.591       6.3550114
      458.096       6.3268705
      458.601       6.2989233
      459.106       6.2711093
      459.611       6.2434443
      460.116       6.2159299
      460.621       6.1885953
      461.126       6.1613632
      461.632       6.1342948
      462.137       6.1073824
      462.642       6.0806410
      463.147       6.0540325
      463.652       6.0275592
      464.157       6.0011959
      464.662       5.9750326
      465.167       5.9489819
      465.672       5.9230793
      466.177       5.8973256
      466.682       5.8717243
      467.187       5.8462373
      467.692       5.8208907
      468.197       5.7956531
      468.702       5.7705739
      469.208       5.7456633
      469.713       5.7208333
